,cumulative_returns,number_of_trades,mean_return,median_return,max_return,vix_triggered,inc_incremented,dec_targeted,number_of_incremented
0,103.23,2,0.52,0.52,0.53,49,5,0.5,3
1,203.73,4,0.51,0.5,0.53,49,5,0.5,4
2,305.57,6,0.51,0.5,0.53,49,5,0.5,5
3,396.18,8,0.5,0.5,0.53,49,5,0.56,3
4,488.07,10,0.49,0.5,0.53,49,5,0.56,4
5,581.45,12,0.48,0.49,0.53,49,5,0.56,5
6,658.4,14,0.47,0.48,0.53,49,5,0.62,3
7,738.28,16,0.46,0.47,0.53,49,5,0.62,4
8,854.35,19,0.45,0.46,0.53,49,5,0.62,5
9,952.17,22,0.43,0.44,0.53,49,5,0.69,3
10,1050.51,25,0.42,0.4,0.53,49,5,0.69,4
11,1150.68,28,0.41,0.4,0.53,49,5,0.69,5
12,1257.79,32,0.39,0.39,0.53,49,5,0.75,3
13,1387.64,37,0.38,0.38,0.53,49,5,0.75,4
14,1519.47,42,0.36,0.35,0.53,49,5,0.75,5
15,1623.7,44,0.37,0.35,0.53,49,6,0.5,3
16,1726.88,46,0.38,0.36,0.53,49,6,0.5,4
17,1830.07,48,0.38,0.38,0.53,49,6,0.5,5
18,1922.02,50,0.38,0.38,0.53,49,6,0.56,3
19,2012.64,52,0.39,0.39,0.53,49,6,0.56,4
20,2103.25,54,0.39,0.39,0.53,49,6,0.56,5
21,2218.51,57,0.39,0.39,0.53,49,6,0.62,3
22,2334.57,60,0.39,0.39,0.53,49,6,0.62,4
23,2450.61,63,0.39,0.39,0.53,49,6,0.62,5
24,2549.02,66,0.39,0.39,0.53,49,6,0.69,3
25,2646.61,69,0.38,0.39,0.53,49,6,0.69,4
26,2743.74,72,0.38,0.39,0.53,49,6,0.69,5
27,2850.34,76,0.38,0.38,0.53,49,6,0.75,3
28,2980.01,81,0.37,0.35,0.53,49,6,0.75,4
29,3113.65,86,0.36,0.34,0.53,49,6,0.75,5
30,3217.88,88,0.37,0.35,0.53,49,7,0.5,3
31,3321.06,90,0.37,0.35,0.53,49,7,0.5,4
32,3424.19,92,0.37,0.36,0.53,49,7,0.5,5
33,3516.15,94,0.37,0.38,0.53,49,7,0.56,3
34,3606.77,96,0.38,0.38,0.53,49,7,0.56,4
35,3698.85,98,0.38,0.38,0.53,49,7,0.56,5
36,3814.12,101,0.38,0.39,0.53,49,7,0.62,3
37,3930.17,104,0.38,0.39,0.53,49,7,0.62,4
38,4045.39,107,0.38,0.39,0.53,49,7,0.62,5
39,4143.81,110,0.38,0.39,0.53,49,7,0.69,3
40,4241.39,113,0.38,0.38,0.53,49,7,0.69,4
41,4339.78,116,0.37,0.38,0.53,49,7,0.69,5
42,4446.37,120,0.37,0.38,0.53,49,7,0.75,3
43,4576.04,125,0.37,0.35,0.53,49,7,0.75,4
44,4711.61,130,0.36,0.34,0.53,49,7,0.75,5
45,4815.84,132,0.36,0.34,0.53,49,8,0.5,3
46,4919.23,134,0.37,0.35,0.53,49,8,0.5,4
47,5022.52,136,0.37,0.35,0.53,49,8,0.5,5
48,5114.48,138,0.37,0.36,0.53,49,8,0.56,3
49,5205.34,140,0.37,0.38,0.53,49,8,0.56,4
50,5297.6,142,0.37,0.38,0.53,49,8,0.56,5
51,5412.67,145,0.37,0.38,0.53,49,8,0.62,3
52,5527.53,148,0.37,0.38,0.53,49,8,0.62,4
53,5642.76,151,0.37,0.38,0.53,49,8,0.62,5
54,5741.67,154,0.37,0.38,0.53,49,8,0.69,3
55,5840.03,157,0.37,0.38,0.53,49,8,0.69,4
56,5939.13,160,0.37,0.38,0.53,49,8,0.69,5
57,6020.46,163,0.37,0.38,0.53,49,8,0.75,3
58,6127.41,167,0.37,0.35,0.53,49,8,0.75,4
59,6237.32,171,0.36,0.34,0.53,49,8,0.75,5
60,6341.56,173,0.37,0.34,0.53,49,9,0.5,3
61,6445.61,175,0.37,0.35,0.53,49,9,0.5,4
62,6549.47,177,0.37,0.35,0.53,49,9,0.5,5
63,6641.42,179,0.37,0.38,0.53,49,9,0.56,3
64,6733.02,181,0.37,0.38,0.53,49,9,0.56,4
65,6870.23,184,0.37,0.38,0.53,49,9,0.56,5
66,6985.31,187,0.37,0.38,0.53,49,9,0.62,3
67,7102.24,190,0.37,0.38,0.53,49,9,0.62,4
68,7219.22,193,0.37,0.38,0.53,49,9,0.62,5
69,7318.12,196,0.37,0.38,0.53,49,9,0.69,3
70,7416.4,199,0.37,0.38,0.53,49,9,0.69,4
71,7513.89,202,0.37,0.38,0.53,49,9,0.69,5
72,7595.22,205,0.37,0.38,0.53,49,9,0.75,3
73,7704.64,209,0.37,0.35,0.53,49,9,0.75,4
74,7816.56,213,0.37,0.34,0.53,49,9,0.75,5
75,7971.42,216,0.37,0.35,0.53,48,5,0.5,3
76,8123.55,219,0.37,0.38,0.53,48,5,0.5,4
77,8277.01,222,0.37,0.38,0.53,48,5,0.5,5
